"id_mesa","id_establecimiento","descripcion","sexo","ciudadanos_habilitados","tipo","extranjera"
367,4705,367,,350,"Electronica","NO"
368,4709,368,,350,"Electronica","NO"
369,4713,369,,350,"Electronica","NO"
370,4720,370,,350,"Electronica","NO"
371,4723,371,,350,"Electronica","NO"
372,4725,372,,350,"Electronica","NO"
373,4733,373,,350,"Electronica","NO"
374,4756,374,,350,"Electronica","NO"
375,4765,375,,350,"Electronica","NO"
376,5119,376,,350,"Electronica","NO"
377,8447,377,,350,"Electronica","NO"
378,4701,378,,350,"Electronica","NO"
379,4707,379,,350,"Electronica","NO"
380,4711,380,,350,"Electronica","NO"
381,4714,381,,350,"Electronica","NO"
382,4729,382,,350,"Electronica","NO"
383,4731,383,,350,"Electronica","NO"
384,4752,384,,350,"Electronica","NO"
385,4773,385,,350,"Electronica","NO"
386,5126,386,,350,"Electronica","NO"
387,8164,387,,350,"Electronica","NO"
388,8451,388,,350,"Electronica","NO"
389,4772,389,,350,"Electronica","NO"
390,4778,390,,350,"Electronica","NO"
391,8919,391,,350,"Electronica","NO"
392,5024,392,,350,"Electronica","NO"
393,5025,393,,350,"Electronica","NO"
394,6639,394,,350,"Electronica","NO"
395,8113,395,,350,"Electronica","NO"
396,4070,396,,350,"Electronica","NO"
397,4073,397,,350,"Electronica","NO"
398,5028,398,,350,"Electronica","NO"
399,8922,399,,350,"Electronica","NO"
400,8925,400,,350,"Electronica","NO"
401,9230,401,,350,"Electronica","NO"
402,4670,402,,350,"Electronica","NO"
403,4677,403,,350,"Electronica","NO"
404,4686,404,,350,"Electronica","NO"
405,4695,405,,350,"Electronica","NO"
406,5212,406,,350,"Electronica","NO"
407,9233,407,,350,"Electronica","NO"
408,4693,408,,350,"Electronica","NO"
409,4697,409,,350,"Electronica","NO"
410,6759,410,,350,"Electronica","NO"
411,8561,411,,350,"Electronica","NO"
412,9238,412,,350,"Electronica","NO"
413,4678,413,,350,"Electronica","NO"
414,4681,414,,350,"Electronica","NO"
415,4690,415,,350,"Electronica","NO"
416,9395,416,,350,"Electronica","NO"
417,9415,417,,350,"Electronica","NO"
418,4661,418,,350,"Electronica","NO"
419,4672,419,,350,"Electronica","NO"
420,4675,420,,350,"Electronica","NO"
421,5217,421,,350,"Electronica","NO"
422,8544,422,,350,"Electronica","NO"
423,9404,423,,350,"Electronica","NO"
424,4738,424,,350,"Electronica","NO"
425,5221,425,,350,"Electronica","NO"
426,5618,426,,350,"Electronica","NO"
427,9241,427,,350,"Electronica","NO"
428,4724,428,,350,"Electronica","NO"
429,4726,429,,350,"Electronica","NO"
430,4730,430,,350,"Electronica","NO"
431,4746,431,,350,"Electronica","NO"
432,8120,432,,350,"Electronica","NO"
433,9246,433,,350,"Electronica","NO"
434,4721,434,,350,"Electronica","NO"
435,4728,435,,350,"Electronica","NO"
436,4732,436,,350,"Electronica","NO"
437,4734,437,,350,"Electronica","NO"
438,4736,438,,350,"Electronica","NO"
439,4744,439,,350,"Electronica","NO"
440,5237,440,,350,"Electronica","NO"
441,9249,441,,350,"Electronica","NO"
442,4801,442,,350,"Electronica","NO"
443,4804,443,,350,"Electronica","NO"
444,4809,444,,350,"Electronica","NO"
445,5228,445,,350,"Electronica","NO"
446,8570,446,,350,"Electronica","NO"
447,5226,447,,350,"Electronica","NO"
448,5239,448,,350,"Electronica","NO"
449,8573,449,,350,"Electronica","NO"
450,4797,450,,350,"Electronica","NO"
451,4800,451,,350,"Electronica","NO"
452,4807,452,,350,"Electronica","NO"
453,5234,453,,350,"Electronica","NO"
454,5238,454,,350,"Electronica","NO"
455,4754,455,,350,"Electronica","NO"
456,4805,456,,350,"Electronica","NO"
457,4817,457,,350,"Electronica","NO"
458,4820,458,,350,"Electronica","NO"
459,4827,459,,350,"Electronica","NO"
460,5240,460,,350,"Electronica","NO"
461,8579,461,,350,"Electronica","NO"
462,4819,462,,350,"Electronica","NO"
463,5232,463,,350,"Electronica","NO"
464,5236,464,,350,"Electronica","NO"
465,8582,465,,350,"Electronica","NO"
466,4056,466,,350,"Electronica","NO"
467,4058,467,,350,"Electronica","NO"
468,4060,468,,350,"Electronica","NO"
469,4063,469,,350,"Electronica","NO"
470,4064,470,,350,"Electronica","NO"
471,5027,471,,350,"Electronica","NO"
472,5224,472,,350,"Electronica","NO"
473,9264,473,,350,"Electronica","NO"
474,4823,474,,350,"Electronica","NO"
475,5169,475,,350,"Electronica","NO"
476,5233,476,,350,"Electronica","NO"
477,7764,477,,350,"Electronica","NO"
478,8591,478,,350,"Electronica","NO"
479,9267,479,,350,"Electronica","NO"
480,4017,480,,350,"Electronica","NO"
481,4034,481,,350,"Electronica","NO"
482,4038,482,,350,"Electronica","NO"
483,4039,483,,350,"Electronica","NO"
484,5026,484,,350,"Electronica","NO"
485,9270,485,,350,"Electronica","NO"
486,4757,486,,350,"Electronica","NO"
487,4759,487,,350,"Electronica","NO"
488,4762,488,,350,"Electronica","NO"
489,4771,489,,350,"Electronica","NO"
490,5165,490,,350,"Electronica","NO"
491,4032,491,,350,"Electronica","NO"
492,5336,492,,350,"Electronica","NO"
