"id_provincia","id_departamento","id_localidad","id_establecimiento","certificado","promiscuo","tel_fijo","direccion"
,,,4713,369,"NO",,
,,,4720,370,"NO",,
,,,4723,371,"NO",,
,,,4725,372,"NO",,
,,,4733,373,"NO",,
,,,4756,374,"NO",,
,,,4765,375,"NO",,
,,,5119,376,"NO",,
,,,8447,377,"NO",,
,,,4701,378,"NO",,
,,,4707,379,"NO",,
,,,4711,380,"NO",,
,,,4714,381,"NO",,
,,,4729,382,"NO",,
,,,4731,383,"NO",,
,,,4752,384,"NO",,
,,,4773,385,"NO",,
,,,5126,386,"NO",,
,,,8164,387,"NO",,
,,,8451,388,"NO",,
,,,4772,389,"NO",,
,,,4778,390,"NO",,
,,,8919,391,"NO",,
,,,5024,392,"NO",,
,,,5025,393,"NO",,
,,,6639,394,"NO",,
,,,8113,395,"NO",,
,,,4070,396,"NO",,
,,,4073,397,"NO",,
,,,5028,398,"NO",,
,,,8922,399,"NO",,
,,,8925,400,"NO",,
,,,9230,401,"NO",,
,,,4670,402,"NO",,
,,,4677,403,"NO",,
,,,4686,404,"NO",,
,,,4695,405,"NO",,
,,,5212,406,"NO",,
,,,9233,407,"NO",,
,,,4693,408,"NO",,
,,,4697,409,"NO",,
,,,6759,410,"NO",,
,,,8561,411,"NO",,
,,,9238,412,"NO",,
,,,4678,413,"NO",,
,,,4681,414,"NO",,
,,,4690,415,"NO",,
,,,9395,416,"NO",,
,,,9415,417,"NO",,
,,,4661,418,"NO",,
,,,4672,419,"NO",,
,,,4675,420,"NO",,
,,,5217,421,"NO",,
,,,8544,422,"NO",,
,,,9404,423,"NO",,
,,,4738,424,"NO",,
,,,5221,425,"NO",,
,,,5618,426,"NO",,
,,,9241,427,"NO",,
,,,4724,428,"NO",,
,,,4726,429,"NO",,
,,,4730,430,"NO",,
,,,4746,431,"NO",,
,,,8120,432,"NO",,
,,,9246,433,"NO",,
,,,4721,434,"NO",,
,,,4728,435,"NO",,
,,,4732,436,"NO",,
,,,4734,437,"NO",,
,,,4736,438,"NO",,
,,,4744,439,"NO",,
,,,5237,440,"NO",,
,,,9249,441,"NO",,
,,,4801,442,"NO",,
,,,4804,443,"NO",,
,,,4809,444,"NO",,
,,,5228,445,"NO",,
,,,8570,446,"NO",,
,,,5226,447,"NO",,
,,,5239,448,"NO",,
,,,8573,449,"NO",,
,,,4797,450,"NO",,
,,,4800,451,"NO",,
,,,4807,452,"NO",,
,,,5234,453,"NO",,
,,,5238,454,"NO",,
,,,4754,455,"NO",,
,,,4805,456,"NO",,
,,,4817,457,"NO",,
,,,4820,458,"NO",,
,,,4827,459,"NO",,
,,,5240,460,"NO",,
,,,8579,461,"NO",,
,,,4819,462,"NO",,
,,,5232,463,"NO",,
,,,5236,464,"NO",,
,,,8582,465,"NO",,
,,,4056,466,"NO",,
,,,4058,467,"NO",,
,,,4060,468,"NO",,
,,,4063,469,"NO",,
,,,4064,470,"NO",,
,,,5027,471,"NO",,
,,,5224,472,"NO",,
,,,9264,473,"NO",,
,,,4823,474,"NO",,
,,,5169,475,"NO",,
,,,5233,476,"NO",,
,,,7764,477,"NO",,
,,,8591,478,"NO",,
,,,9267,479,"NO",,
,,,4017,480,"NO",,
,,,4034,481,"NO",,
,,,4038,482,"NO",,
,,,4039,483,"NO",,
,,,5026,484,"NO",,
,,,9270,485,"NO",,
,,,4757,486,"NO",,
,,,4759,487,"NO",,
,,,4762,488,"NO",,
,,,4771,489,"NO",,
,,,5165,490,"NO",,
,,,4032,491,"NO",,
,,,5336,492,"NO",,
,,,7943,493,"NO",,
,,,9274,494,"NO",,
,,,4018,495,"NO",,
,,,4024,496,"NO",,
,,,9279,497,"NO",,
,,,4755,498,"NO",,
,,,4774,499,"NO",,
,,,8124,500,"NO",,
,,,8125,501,"NO",,
,,,8970,502,"NO",,
,,,4932,503,"NO",,
,,,4941,504,"NO",,
,,,4946,505,"NO",,
,,,4949,506,"NO",,
,,,8611,507,"NO",,
,,,9165,508,"NO",,
,,,4904,509,"NO",,
,,,4938,510,"NO",,
,,,8614,511,"NO",,
,,,9168,512,"NO",,
,,,4898,513,"NO",,
,,,4907,514,"NO",,
,,,4910,515,"NO",,
,,,4917,516,"NO",,
,,,4919,517,"NO",,
,,,9171,518,"NO",,
,,,4935,519,"NO",,
,,,4940,520,"NO",,
,,,4947,521,"NO",,
,,,5271,522,"NO",,
,,,5273,523,"NO",,
,,,5283,524,"NO",,
,,,8374,525,"NO",,
,,,4864,526,"NO",,
,,,5268,527,"NO",,
,,,7768,528,"NO",,
,,,8617,529,"NO",,
,,,9174,530,"NO",,
,,,9176,531,"NO",,
,,,4802,532,"NO",,
,,,6902,533,"NO",,
,,,7955,534,"NO",,
,,,8620,535,"NO",,
,,,8629,536,"NO",,
,,,9179,537,"NO",,
,,,9200,538,"NO",,
,,,9203,539,"NO",,
,,,4813,540,"NO",,
,,,4866,541,"NO",,
,,,4872,542,"NO",,
,,,5248,543,"NO",,
,,,7771,544,"NO",,
,,,8632,545,"NO",,
,,,9206,546,"NO",,
,,,9209,547,"NO",,
,,,4798,548,"NO",,
,,,4812,549,"NO",,
,,,4818,550,"NO",,
,,,4851,551,"NO",,
,,,4869,552,"NO",,
,,,5230,553,"NO",,
,,,5242,554,"NO",,
,,,5245,555,"NO",,
,,,8638,556,"NO",,
,,,9212,557,"NO",,
,,,4876,558,"NO",,
,,,4895,559,"NO",,
,,,4896,560,"NO",,
,,,4905,561,"NO",,
,,,5257,562,"NO",,
,,,8764,563,"NO",,
,,,9215,564,"NO",,
,,,4879,565,"NO",,
,,,4893,566,"NO",,
,,,4922,567,"NO",,
,,,5249,568,"NO",,
,,,8498,569,"NO",,
,,,9075,570,"NO",,
,,,4897,571,"NO",,
,,,4912,572,"NO",,
,,,4916,573,"NO",,
,,,8055,574,"NO",,
,,,8502,575,"NO",,
,,,8505,576,"NO",,
,,,8508,577,"NO",,
,,,9078,578,"NO",,
,,,4939,579,"NO",,
,,,4942,580,"NO",,
,,,4967,581,"NO",,
,,,5258,582,"NO",,
,,,5259,583,"NO",,
,,,7773,584,"NO",,
,,,9218,585,"NO",,
,,,4945,586,"NO",,
,,,4954,587,"NO",,
,,,4956,588,"NO",,
,,,4957,589,"NO",,
,,,4959,590,"NO",,
,,,5263,591,"NO",,
,,,5267,592,"NO",,
,,,5332,593,"NO",,
,,,8010,594,"NO",,
,,,8517,595,"NO",,
,,,9081,596,"NO",,
,,,4965,597,"NO",,
,,,4968,598,"NO",,
,,,4970,599,"NO",,
,,,5285,600,"NO",,
,,,8520,601,"NO",,
,,,9084,602,"NO",,
,,,9221,603,"NO",,
,,,4953,604,"NO",,
,,,4958,605,"NO",,
,,,4982,606,"NO",,
,,,4983,607,"NO",,
,,,4984,608,"NO",,
,,,4985,609,"NO",,
,,,4988,610,"NO",,
,,,4989,611,"NO",,
,,,4991,612,"NO",,
,,,8014,613,"NO",,
,,,4994,614,"NO",,
,,,4995,615,"NO",,
,,,4996,616,"NO",,
,,,5289,617,"NO",,
,,,4966,618,"NO",,
,,,9087,619,"NO",,
,,,9090,620,"NO",,
,,,4971,621,"NO",,
,,,4974,622,"NO",,
,,,4993,623,"NO",,
,,,4997,624,"NO",,
,,,5291,625,"NO",,
,,,8535,626,"NO",,
,,,9093,627,"NO",,
,,,4445,628,"NO",,
,,,4450,629,"NO",,
,,,4453,630,"NO",,
,,,4457,631,"NO",,
,,,5006,632,"NO",,
,,,5295,633,"NO",,
,,,5297,634,"NO",,
,,,9096,635,"NO",,
,,,5170,636,"NO",,
,,,8166,637,"NO",,
,,,4480,638,"NO",,
,,,4491,639,"NO",,
,,,4495,640,"NO",,
,,,8803,641,"NO",,
,,,4442,642,"NO",,
,,,4485,643,"NO",,
,,,4490,644,"NO",,
,,,8767,645,"NO",,
,,,4447,646,"NO",,
,,,5004,647,"NO",,
,,,5007,648,"NO",,
,,,5013,649,"NO",,
,,,5014,650,"NO",,
,,,5016,651,"NO",,
,,,5298,652,"NO",,
,,,5300,653,"NO",,
,,,5301,654,"NO",,
,,,6968,655,"NO",,
,,,8171,656,"NO",,
,,,4424,657,"NO",,
,,,4462,658,"NO",,
,,,4469,659,"NO",,
,,,4471,660,"NO",,
,,,4475,661,"NO",,
,,,5159,662,"NO",,
,,,4507,663,"NO",,
,,,5164,664,"NO",,
,,,8771,665,"NO",,
,,,8774,666,"NO",,
,,,4419,667,"NO",,
,,,4481,668,"NO",,
,,,4489,669,"NO",,
,,,8777,670,"NO",,
,,,8779,671,"NO",,
,,,8985,672,"NO",,
,,,4427,673,"NO",,
,,,4434,674,"NO",,
,,,5015,675,"NO",,
,,,5302,676,"NO",,
,,,8782,677,"NO",,
,,,8785,678,"NO",,
,,,4992,679,"NO",,
,,,5017,680,"NO",,
,,,8824,681,"NO",,
,,,8826,682,"NO",,
,,,4504,683,"NO",,
,,,4511,684,"NO",,
,,,4519,685,"NO",,
,,,5177,686,"NO",,
,,,7227,687,"NO",,
,,,4546,688,"NO",,
,,,4551,689,"NO",,
,,,4556,690,"NO",,
,,,4499,691,"NO",,
,,,4517,692,"NO",,
,,,4583,693,"NO",,
,,,7311,694,"NO",,
,,,8142,695,"NO",,
,,,8144,696,"NO",,
,,,4487,697,"NO",,
,,,4527,698,"NO",,
,,,4529,699,"NO",,
,,,4548,700,"NO",,
,,,8656,701,"NO",,
,,,8659,702,"NO",,
,,,9255,703,"NO",,
,,,4522,704,"NO",,
,,,4525,705,"NO",,
,,,4535,706,"NO",,
,,,4537,707,"NO",,
,,,8670,708,"NO",,
,,,9258,709,"NO",,
,,,4524,710,"NO",,
,,,4528,711,"NO",,
,,,5181,712,"NO",,
,,,4536,713,"NO",,
,,,4539,714,"NO",,
,,,4542,715,"NO",,
,,,5185,716,"NO",,
,,,9383,717,"NO",,
,,,9385,718,"NO",,
,,,9386,719,"NO",,
,,,9387,720,"NO",,
,,,4538,721,"NO",,
,,,4549,722,"NO",,
,,,4553,723,"NO",,
,,,4558,724,"NO",,
,,,8676,725,"NO",,
,,,4566,726,"NO",,
,,,4569,727,"NO",,
,,,4571,728,"NO",,
,,,4578,729,"NO",,
,,,5187,730,"NO",,
,,,4574,731,"NO",,
,,,4603,732,"NO",,
,,,4607,733,"NO",,
,,,4611,734,"NO",,
,,,5186,735,"NO",,
,,,7104,736,"NO",,
,,,8145,737,"NO",,
,,,8685,738,"NO",,
,,,4562,739,"NO",,
,,,4568,740,"NO",,
,,,4575,741,"NO",,
,,,4581,742,"NO",,
,,,4585,743,"NO",,
,,,5182,744,"NO",,
,,,5183,745,"NO",,
,,,4640,746,"NO",,
,,,4651,747,"NO",,
,,,4654,748,"NO",,
,,,4662,749,"NO",,
,,,4557,750,"NO",,
,,,4626,751,"NO",,
,,,4629,752,"NO",,
,,,5194,753,"NO",,
,,,5195,754,"NO",,
,,,4665,755,"NO",,
,,,4692,756,"NO",,
,,,4694,757,"NO",,
,,,4696,758,"NO",,
,,,4679,759,"NO",,
,,,4680,760,"NO",,
,,,5200,761,"NO",,
,,,5201,762,"NO",,
,,,8030,763,"NO",,
,,,4448,764,"NO",,
,,,4451,765,"NO",,
,,,4454,766,"NO",,
,,,4455,767,"NO",,
,,,4456,768,"NO",,
,,,4458,769,"NO",,
,,,4464,770,"NO",,
,,,4466,771,"NO",,
,,,8960,772,"NO",,
,,,4459,773,"NO",,
,,,4460,774,"NO",,
,,,4470,775,"NO",,
,,,4476,776,"NO",,
,,,5151,777,"NO",,
,,,8406,778,"NO",,
,,,4418,779,"NO",,
